Tiempo,Neutral,Felicidad,Tristeza,Enojo,Sorpresa,Miedo,Asco,Desprecio,Valencia,Activación,Frec Cardíaca,Sujeto
00:03:19.800000,0.5591839,0.07153466,5.92e-07,0.007328628,0.09321966,0.006328573,0.002175435,0.0,0.06420603,0.6129367,70.0,Sujeto2
00:03:19.840000,0.556345,0.06345639,5.25e-07,0.008678605,0.1032482,0.005708365,0.002114489,0.0,0.05477778,0.6082727,70.0,Sujeto2
00:03:19.880000,0.5545424,0.05629037,4.66e-07,0.01121738,0.1080552,0.005386799,0.002391389,0.0,0.045073,0.603766,70.0,Sujeto2
00:03:19.919000,0.5534468,0.04993362,0.001465244,0.01472482,0.1087849,0.005517831,0.003056626,0.0,0.0352088,0.5994103,70.0,Sujeto2
00:03:20.480000,0.3305445,0.0119028,0.3813181,0.008801355,0.02140058,0.006625192,0.01176568,0.0,-0.3694153,0.5261061,69.0,Sujeto2
00:03:20.520000,0.3266182,0.0396639,0.3927597,0.01440526,0.01898386,0.007277614,0.01194464,0.0,-0.3530958,0.5218672,69.0,Sujeto2
00:03:20.560000,0.3215309,0.0669366,0.4054286,0.01924288,0.01684004,0.008079586,0.01217061,0.0,-0.338492,0.5181636,69.0,Sujeto2
00:03:20.600000,0.3161269,0.08989456,0.4181958,0.02227952,0.01493833,0.009268208,0.01295141,0.0,-0.3283013,0.5147849,69.0,Sujeto2
00:03:20.639000,0.3118239,0.1093938,0.4286732,0.02545103,0.01325138,0.01004224,0.01370982,0.0,-0.3192794,0.512117,69.0,Sujeto2
00:03:20.680000,0.3073904,0.128458,0.4392732,0.02863246,0.01175492,0.01077593,0.01419411,0.0,-0.3108153,0.5099905,69.0,Sujeto2
00:03:20.720000,0.3047209,0.1461713,0.4467785,0.03138832,0.01042746,0.01145073,0.01458693,0.0,-0.3006072,0.5084959,69.0,Sujeto2
00:03:20.760000,0.3026566,0.1649196,0.453934,0.03207305,0.009249904,0.01184579,0.01490834,0.0,-0.2890143,0.5067264,69.0,Sujeto2
00:03:20.800000,0.3030166,0.1857308,0.4564352,0.03101353,0.00820533,0.01180995,0.01524692,0.0,-0.2707044,0.5045895,69.0,Sujeto2
00:03:20.840000,0.3045836,0.2071649,0.4560582,0.0300607,0.007278717,0.0116939,0.01549201,0.0,-0.2488933,0.5025109,69.0,Sujeto2
00:03:20.880000,0.3098779,0.2272462,0.4466156,0.02909934,0.006456745,0.01142411,0.01546735,0.0,-0.2193694,0.5004885,69.0,Sujeto2
00:03:20.919000,0.3150315,0.2440788,0.4386052,0.0284864,0.005727598,0.01132378,0.01540689,0.0,-0.1945264,0.4988182,69.0,Sujeto2
00:03:20.960000,0.320029,0.2593211,0.4290201,0.02726747,0.00508079,0.01115612,0.0154419,0.0,-0.169699,0.4971794,69.0,Sujeto2
00:03:21,0.3227831,0.277034,0.4152967,0.02492944,0.004507026,0.01057144,0.01534535,0.0,-0.1382626,0.4952573,69.0,Sujeto2
00:03:21.040000,0.3245857,0.295112,0.3964476,0.02281788,0.003998056,0.009664048,0.01514469,0.0,-0.1013356,0.4937444,69.0,Sujeto2
00:03:21.080000,0.3258963,0.3130305,0.3743545,0.02035278,0.003546563,0.008572705,0.01489778,0.0,-0.06132391,0.4921824,69.0,Sujeto2
00:03:21.120000,0.3272852,0.3298814,0.3482575,0.01805438,0.003146056,0.007604606,0.01449979,0.0,-0.01837614,0.4906676,69.0,Sujeto2
00:03:21.160000,0.3268885,0.3482462,0.3192911,0.01601553,0.002790777,0.006745832,0.01401816,0.0,0.02895507,0.4895079,68.0,Sujeto2
00:03:21.200000,0.3252241,0.3679054,0.2903208,0.01420693,0.00247562,0.005984037,0.0134908,0.0,0.07758462,0.4888024,68.0,Sujeto2
00:03:21.240000,0.3232301,0.3870076,0.2601718,0.01260256,0.002196053,0.005308271,0.0130808,0.0,0.1268358,0.4883984,68.0,Sujeto2
00:03:21.280000,0.3211141,0.4063822,0.2311453,0.01117938,0.001948057,0.004708818,0.01264676,0.0,0.175237,0.4883984,68.0,Sujeto2
00:03:21.320000,0.3190834,0.4231632,0.2050425,0.009916914,0.001728066,0.00417706,0.01233777,0.0,0.2181207,0.492892,68.0,Sujeto2
00:03:21.360000,0.3188912,0.43464,0.1818874,0.008797015,0.001532919,0.003705352,0.01215663,0.0,0.2527526,0.5005555,68.0,Sujeto2
00:03:21.400000,0.3193586,0.4441264,0.1613472,0.007803584,0.001359809,0.003286913,0.01194299,0.0,0.2827792,0.5104142,68.0,Sujeto2
00:03:21.440000,0.3216003,0.4486291,0.1431266,0.00692234,0.001206249,0.002915728,0.01179917,0.0,0.3055025,0.521717,68.0,Sujeto2
00:03:21.480000,0.322674,0.4540808,0.1269635,0.006140613,0.001070029,0.00258646,0.01169271,0.0,0.3271173,0.5390732,68.0,Sujeto2
00:03:21.520000,0.3250552,0.4558806,0.1126258,0.005447165,0.000949193,0.002294376,0.01153107,0.0,0.3432548,0.5554447,68.0,Sujeto2
