Tiempo,Neutral,Felicidad,Tristeza,Enojo,Sorpresa,Miedo,Asco,Desprecio,Valencia,Activación,Frec Cardíaca,Sujeto
00:04:55.200000,0.7906655,1e-09,3.731e-06,0.03965,0.06171244,0.006359742,0.002747496,0.04858801,-0.03965,0.4218603,68.0,Sujeto3
00:04:55.240000,0.794811,1e-09,3.309e-06,0.0391285,0.05824164,0.005641548,0.002483155,0.04673003,-0.0391285,0.4239429,68.0,Sujeto3
00:04:55.279000,0.798139,1e-09,2.936e-06,0.03893762,0.05470835,0.00500446,0.002599014,0.04341368,-0.03893762,0.4255159,68.0,Sujeto3
00:04:55.320000,0.8004326,1e-09,2.604e-06,0.03926716,0.05131206,0.004439314,0.002784193,0.03905863,-0.03926716,0.426698,68.0,Sujeto3
00:04:55.360000,0.8023915,1e-09,2.31e-06,0.03936078,0.04897995,0.003937991,0.002896581,0.03619399,-0.03936078,0.4275794,68.0,Sujeto3
00:04:55.400000,0.8046801,1e-09,2.049e-06,0.03892556,0.04690547,0.003493281,0.002762538,0.03547036,-0.03892556,0.4294846,68.0,Sujeto3
00:04:55.440000,0.8078464,1e-09,1.818e-06,0.03820834,0.0451787,0.003098791,0.002450569,0.03487253,-0.03820834,0.4308548,68.0,Sujeto3
00:04:55.480000,0.8116396,1e-09,1.612e-06,0.03747438,0.04431051,0.00274885,0.002173831,0.0355273,-0.03747438,0.4318179,68.0,Sujeto3
00:04:55.520000,0.8160354,0.0,1.43e-06,0.03679751,0.04359282,0.002438428,0.001928344,0.03806456,-0.03679751,0.4324678,68.0,Sujeto3
00:04:55.560000,0.8201808,0.0,1.269e-06,0.0355588,0.04537818,0.00216306,0.00171058,0.03820673,-0.0355588,0.4328699,68.0,Sujeto3
00:04:55.600000,0.8244225,0.0,1.126e-06,0.03408992,0.04811402,0.00191879,0.001517407,0.03922306,-0.03408992,0.4330778,68.0,Sujeto3
00:04:55.640000,0.8297294,0.0,9.98e-07,0.03348882,0.0479277,0.001702105,0.001346049,0.04099555,-0.03348882,0.4330778,68.0,Sujeto3
00:04:55.680000,0.8356853,0.0,8.86e-07,0.03297933,0.04518944,0.001509889,0.001194042,0.03862654,-0.03297933,0.4318758,68.0,Sujeto3
00:04:55.720000,0.8400993,0.0,0.000346444,0.03250524,0.0402409,0.00133938,0.001059201,0.03604349,-0.03250524,0.4300375,68.0,Sujeto3
00:04:55.760000,0.8445987,0.0,0.001073834,0.03182244,0.03569657,0.001188126,0.000939588,0.0326026,-0.03182244,0.4276077,68.0,Sujeto3
00:04:55.800000,0.8488888,0.0,0.002143275,0.03132597,0.03166542,0.001053953,0.000833482,0.02904683,-0.03132597,0.4249274,68.0,Sujeto3
00:04:55.839000,0.8533164,0.0,0.003709295,0.03067323,0.02808951,0.000934933,0.000739359,0.0272813,-0.03067323,0.4218144,68.0,Sujeto3
00:04:55.880000,0.8560636,0.0,0.006556021,0.02955943,0.02491741,0.000829352,0.000655864,0.02474187,-0.02955943,0.4185253,68.0,Sujeto3
